                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2414,                0.85228,                 1.0945,                0.99406,                   0.95,                 0.9569,                 0.4804,                 1.6531,                0.84739,                 1.3632,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2148,                 0.8241,                  1.058,                 0.8337,                    0.8,                 0.7976,                0.39453,                 1.8433,                0.96943,                 1.5263,               0.001307,               0.001307,               0.001307
                     37,                 1.2155,                0.82073,                  1.094,                0.94728,                0.89843,                0.92078,                0.44551,                 1.7604,                0.97778,                 1.4662,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1577,                0.75333,                 1.0266,                0.99832,                   0.85,                0.93423,                0.45766,                  1.709,                0.92232,                  1.413,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1717,                0.83939,                 1.0568,                0.99312,                   0.85,                0.97485,                0.47071,                 1.7743,                0.99077,                 1.4568,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0898,                0.79811,                 1.0094,                      1,                0.89338,                0.97818,                0.46249,                  1.848,                0.96855,                 1.4778,              0.0012278,              0.0012278,              0.0012278
                     41,                  1.229,                 0.8036,                 1.0508,                      1,                0.89946,                 0.9825,                0.48071,                 1.7935,                  0.893,                 1.4208,               0.001208,               0.001208,               0.001208
                     42,                  1.185,                0.76971,                 1.0588,                      1,                0.97143,                  0.995,                0.58447,                 1.5205,                0.74727,                 1.2519,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2459,                0.81945,                 1.0651,                      1,                  0.897,                0.94274,                0.56675,                 1.4952,                0.77898,                 1.2587,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1067,                0.73108,                 1.0361,                0.97554,                   0.95,                0.96224,                0.51131,                  1.564,                0.88679,                 1.3005,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1512,                0.75549,                 1.0479,                0.98958,                    0.9,                0.95974,                0.50675,                 1.5619,                0.87561,                 1.3057,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1168,                0.73922,                 1.0311,                0.91762,                    0.9,                0.95348,                0.50502,                  1.604,                0.84863,                 1.3234,               0.001109,               0.001109,               0.001109
                     47,                 1.1472,                0.74072,                 1.0425,                0.94931,                0.93692,                0.95064,                 0.5177,                 1.5882,                0.84491,                 1.3087,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0397,                  0.726,                0.99221,                0.91461,                    0.9,                0.92062,                0.53375,                 1.5555,                0.91622,                 1.2996,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1319,                0.74096,                 1.0164,                      1,                 0.8394,                0.91188,                0.50185,                 1.6064,                0.92275,                 1.3656,              0.0010496,              0.0010496,              0.0010496
                     50,                  1.096,                0.73333,                 1.0575,                      1,                0.84366,                0.92347,                0.50372,                 1.6249,                0.91489,                 1.3585,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0646,                0.66794,                 1.0014,                      1,                0.84448,                0.93999,                0.51052,                 1.6212,                0.89386,                 1.3573,                0.00101,                0.00101,                0.00101
                     52,                 1.0624,                0.72212,                0.98452,                0.99763,                   0.85,                0.94077,                0.52036,                 1.6123,                0.85046,                 1.3497,              0.0009902,              0.0009902,              0.0009902
                     53,                 0.9996,                0.68611,                0.99663,                0.99467,                   0.85,                0.93342,                0.53709,                 1.5723,                0.84031,                 1.3214,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0781,                0.71759,                0.99648,                      1,                0.93472,                0.94524,                0.53001,                 1.5616,                0.79858,                  1.327,              0.0009506,              0.0009506,              0.0009506
                     55,                  1.102,                0.68852,                 1.0507,                0.99717,                   0.95,                0.94524,                0.52984,                 1.5868,                0.79732,                 1.3309,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0929,                 0.7594,                  1.037,                0.99598,                   0.95,                0.94524,                0.50339,                 1.6822,                0.80582,                 1.3614,               0.000911,               0.000911,               0.000911
                     57,                 1.0623,                 0.6831,                 1.0071,                      1,                0.94189,                0.94524,                0.48393,                 1.6537,                0.78345,                 1.3471,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0597,                0.68629,                0.98773,                0.94937,                0.93798,                0.94024,                0.49031,                 1.5751,                0.74697,                 1.3134,              0.0008714,              0.0008714,              0.0008714
                     59,                0.99578,                0.63289,                0.98201,                0.94255,                   0.95,                0.94024,                0.51017,                 1.5222,                0.74945,                 1.2898,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0104,                0.64773,                0.98954,                0.94409,                   0.95,                0.93774,                0.52697,                 1.4883,                0.77009,                 1.2502,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0561,                0.65341,                0.99247,                0.94192,                   0.95,                0.93774,                0.54304,                 1.5477,                0.81207,                 1.2794,               0.000812,               0.000812,               0.000812
                     62,                 1.0386,                0.66272,                 1.0238,                0.94975,                0.94534,                0.94113,                0.52393,                 1.5834,                0.78148,                 1.3072,              0.0007922,              0.0007922,              0.0007922
                     63,                0.97595,                0.69787,                 1.0053,                0.94964,                 0.9432,                0.94024,                0.52454,                  1.622,                 0.7567,                 1.3379,              0.0007724,              0.0007724,              0.0007724
                     64,                   1.07,                0.69465,                0.99627,                0.93664,                   0.95,                0.94024,                0.52637,                 1.6114,                0.75753,                 1.3054,              0.0007526,              0.0007526,              0.0007526
                     65,                  1.081,                0.66284,                 1.0158,                0.94536,                   0.95,                0.94024,                0.51214,                 1.5727,                0.77715,                  1.294,              0.0007328,              0.0007328,              0.0007328
                     66,                0.93482,                0.61497,                0.95474,                      1,                0.89333,                0.94073,                0.49787,                 1.5501,                0.76858,                 1.3025,               0.000713,               0.000713,               0.000713
                     67,                0.97443,                0.60371,                0.96379,                0.94946,                0.93971,                0.94088,                0.53903,                 1.5075,                0.77289,                 1.2861,              0.0006932,              0.0006932,              0.0006932
                     68,                0.98295,                0.61251,                0.97246,                0.90363,                0.93808,                 0.9423,                0.51962,                 1.5188,                0.80367,                 1.2986,              0.0006734,              0.0006734,              0.0006734
                     69,                0.95952,                0.58834,                0.95079,                 0.9037,                0.93883,                0.93891,                0.50707,                 1.5413,                0.79465,                 1.2882,              0.0006536,              0.0006536,              0.0006536
                     70,                0.97971,                0.60442,                0.94123,                      1,                0.89661,                0.94404,                0.52841,                 1.5789,                0.76692,                 1.2813,              0.0006338,              0.0006338,              0.0006338
                     71,                 0.9929,                0.61827,                0.99582,                      1,                0.94809,                0.94725,                0.49423,                 1.6412,                0.75215,                 1.3327,               0.000614,               0.000614,               0.000614
                     72,                 0.9208,                0.56638,                0.93179,                0.99595,                   0.95,                0.94753,                0.49044,                  1.626,                0.73441,                 1.3238,              0.0005942,              0.0005942,              0.0005942
                     73,                0.97208,                0.59924,                0.94601,                0.99499,                   0.95,                0.94746,                0.50856,                  1.625,                0.72889,                 1.3183,              0.0005744,              0.0005744,              0.0005744
                     74,                0.94032,                0.59167,                0.96064,                0.94116,                    0.9,                0.85651,                 0.4933,                 1.6456,                0.71073,                 1.3492,              0.0005546,              0.0005546,              0.0005546
                     75,                0.90588,                0.58154,                0.98343,                0.94222,                    0.9,                 0.8653,                0.49686,                 1.6314,                0.71754,                 1.3432,              0.0005348,              0.0005348,              0.0005348
                     76,                0.89154,                0.56723,                0.95455,                0.98032,                   0.95,                0.94726,                0.50187,                 1.6204,                0.72519,                  1.314,               0.000515,               0.000515,               0.000515
                     77,                0.88424,                0.56196,                0.94689,                      1,                0.93744,                0.94747,                0.50056,                 1.6282,                0.71569,                 1.3301,              0.0004952,              0.0004952,              0.0004952
                     78,                0.91441,                0.57602,                0.95156,                0.98555,                   0.95,                0.94524,                0.52759,                 1.5488,                0.66781,                  1.285,              0.0004754,              0.0004754,              0.0004754
                     79,                0.95223,                0.58034,                0.96845,                0.98899,                   0.95,                0.94524,                0.51721,                 1.5673,                0.66683,                 1.2983,              0.0004556,              0.0004556,              0.0004556
                     80,                0.89982,                0.55328,                0.91385,                0.99532,                   0.95,                0.94524,                 0.4825,                 1.6426,                0.71312,                 1.3505,              0.0004358,              0.0004358,              0.0004358
                     81,                0.93683,                0.57607,                0.94738,                0.99647,                   0.95,                0.94524,                0.49421,                 1.6336,                0.71308,                 1.3541,               0.000416,               0.000416,               0.000416
                     82,                0.95608,                0.59067,                0.96474,                0.99706,                   0.95,                0.94525,                 0.4959,                 1.5658,                0.70809,                 1.3159,              0.0003962,              0.0003962,              0.0003962
                     83,                0.97802,                0.57713,                0.92347,                0.99382,                   0.95,                0.94525,                0.50186,                 1.5796,                0.72849,                 1.3307,              0.0003764,              0.0003764,              0.0003764
                     84,                0.84793,                0.52313,                0.94464,                0.99224,                   0.95,                0.94526,                0.51079,                 1.6115,                0.72172,                  1.371,              0.0003566,              0.0003566,              0.0003566
                     85,                0.88481,                 0.5605,                0.95331,                0.99017,                   0.95,                0.94526,                0.50877,                 1.5994,                0.72663,                 1.3609,              0.0003368,              0.0003368,              0.0003368
